,Name,Single Adult,One Adult One Child,One Adult One Childcare,Two Adults,Two Adults Two Children,Two Adults Two Childcare,Single Senior,Two Seniors
0,Housing - Rent,$592,$600,$600,$600,$757,$757,$592,$600
1,Housing - Utilities,$163,$258,$258,$258,$310,$310,$163,$258
2,Child Care,$0,$281,$750,$0,$562,"$1,583",$0,$0
3,Food,$439,$745,$668,$805,"$1,354","$1,196",$405,$743
4,Transportation,$394,$527,$527,$634,"$1,044","$1,044",$330,$506
5,Health Care,$165,$392,$392,$392,$613,$613,$541,"$1,082"
6,Technology,$86,$86,$86,$116,$116,$116,$86,$116
7,Miscellaneous,$184,$289,$328,$281,$476,$562,$212,$331
8,Tax Payments,$313,$672,$769,$423,$901,"$1,119",$382,$676
9,Tax Credits,$0,($217),($217),$0,($433),($433),$0,$0
10,Monthly Total,"$2,336","$3,633","$4,161","$3,509","$5,700","$6,867","$2,711","$4,312"
11,ANNUAL TOTAL,"$28,032","$43,596","$49,932","$42,108","$68,400","$82,404","$32,532","$51,744"
12,Hourly Wage,$14.02,$21.80,$24.97,$21.05,$34.20,$41.20,$16.27,$25.87
