State,Year,Type,GEO.id2,GEO.display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey 
Ohio,2022,Sub_County,3900108350,"Bratton township, Adams County, Ohio",479,91,220,168,5-Year
Ohio,2022,Sub_County,3900109722,"Brush Creek township, Adams County, Ohio",764,252,137,375,5-Year
Ohio,2022,Sub_County,3900128196,"Franklin township, Adams County, Ohio",318,77,96,145,5-Year
Ohio,2022,Sub_County,3900131668,"Green township, Adams County, Ohio",234,22,112,100,5-Year
Ohio,2022,Sub_County,3900138486,"Jefferson township, Adams County, Ohio",170,16,95,59,5-Year
Ohio,2022,Sub_County,3900143036,"Liberty township, Adams County, Ohio",628,10,210,408,5-Year
Ohio,2022,Sub_County,3900147026,"Manchester township, Adams County, Ohio",784,287,238,259,5-Year
Ohio,2022,Sub_County,3900148888,"Meigs township, Adams County, Ohio",1282,317,299,666,5-Year
Ohio,2022,Sub_County,3900151268,"Monroe township, Adams County, Ohio",343,80,148,115,5-Year
Ohio,2022,Sub_County,3900158366,"Oliver township, Adams County, Ohio",317,22,112,183,5-Year
Ohio,2022,Sub_County,3900171052,"Scott township, Adams County, Ohio",913,203,285,425,5-Year
Ohio,2022,Sub_County,3900174069,"Sprigg township, Adams County, Ohio",605,146,210,249,5-Year
Ohio,2022,Sub_County,3900176768,"Tiffin township, Adams County, Ohio",2039,426,765,848,5-Year
Ohio,2022,Sub_County,3900182012,"Wayne township, Adams County, Ohio",385,9,89,287,5-Year
Ohio,2022,Sub_County,3900185890,"Winchester township, Adams County, Ohio",914,103,303,508,5-Year
Ohio,2022,Sub_County,3900301602,"Amanda township, Allen County, Ohio",700,8,149,543,5-Year
Ohio,2022,Sub_County,3900301756,"American township, Allen County, Ohio",6439,444,1947,4048,5-Year
Ohio,2022,Sub_County,3900302988,"Auglaize township, Allen County, Ohio",1087,41,187,859,5-Year
Ohio,2022,Sub_County,3900304206,"Bath township, Allen County, Ohio",3696,310,1065,2321,5-Year
Ohio,2022,Sub_County,3900337646,"Jackson township, Allen County, Ohio",1130,52,273,805,5-Year
Ohio,2022,Sub_County,3900343554,"Lima city, Allen County, Ohio",13778,2934,5146,5698,5-Year
Ohio,2022,Sub_County,3900347656,"Marion township, Allen County, Ohio",2822,325,659,1838,5-Year
Ohio,2022,Sub_County,3900351282,"Monroe township, Allen County, Ohio",855,64,175,616,5-Year
Ohio,2022,Sub_County,3900361742,"Perry township, Allen County, Ohio",1303,185,353,765,5-Year
Ohio,2022,Sub_County,3900366614,"Richland township, Allen County, Ohio",2239,58,556,1625,5-Year
Ohio,2022,Sub_County,3900371955,"Shawnee township, Allen County, Ohio",5027,285,826,3916,5-Year
Ohio,2022,Sub_County,3900373982,"Spencer township, Allen County, Ohio",1175,153,366,656,5-Year
Ohio,2022,Sub_County,3900375199,"Sugar Creek township, Allen County, Ohio",484,5,92,387,5-Year
Ohio,2022,Sub_County,3900502568,"Ashland city, Ashland County, Ohio",7944,1108,2541,4295,5-Year
Ohio,2022,Sub_County,3900515672,"Clear Creek township, Ashland County, Ohio",878,103,262,513,5-Year
Ohio,2022,Sub_County,3900531682,"Green township, Ashland County, Ohio",1500,126,444,930,5-Year
Ohio,2022,Sub_County,3900533236,"Hanover township, Ashland County, Ohio",878,69,344,465,5-Year
Ohio,2022,Sub_County,3900537660,"Jackson township, Ashland County, Ohio",1558,111,434,1013,5-Year
Ohio,2022,Sub_County,3900541272,"Lake township, Ashland County, Ohio",139,17,34,88,5-Year
Ohio,2022,Sub_County,3900550050,"Mifflin township, Ashland County, Ohio",564,69,137,358,5-Year
Ohio,2022,Sub_County,3900550610,"Milton township, Ashland County, Ohio",720,26,198,496,5-Year
Ohio,2022,Sub_County,3900551086,"Mohican township, Ashland County, Ohio",724,58,156,510,5-Year
Ohio,2022,Sub_County,3900551688,"Montgomery township, Ashland County, Ohio",911,26,171,714,5-Year
Ohio,2022,Sub_County,3900558562,"Orange township, Ashland County, Ohio",863,98,183,582,5-Year
Ohio,2022,Sub_County,3900561756,"Perry township, Ashland County, Ohio",706,146,90,470,5-Year
Ohio,2022,Sub_County,3900568966,"Ruggles township, Ashland County, Ohio",160,0,17,143,5-Year
Ohio,2022,Sub_County,3900575357,"Sullivan township, Ashland County, Ohio",1048,84,190,774,5-Year
Ohio,2022,Sub_County,3900577532,"Troy township, Ashland County, Ohio",664,18,107,539,5-Year
Ohio,2022,Sub_County,3900579758,"Vermillion township, Ashland County, Ohio",1221,69,333,819,5-Year
Ohio,2022,Sub_County,3900702064,"Andover township, Ashtabula County, Ohio",924,133,270,521,5-Year
Ohio,2022,Sub_County,3900702652,"Ashtabula township, Ashtabula County, Ohio",8113,2522,2330,3261,5-Year
Ohio,2022,Sub_County,3900703156,"Austinburg township, Ashtabula County, Ohio",764,102,163,499,5-Year
Ohio,2022,Sub_County,3900713890,"Cherry Valley township, Ashtabula County, Ohio",337,17,119,201,5-Year
Ohio,2022,Sub_County,3900716560,"Colebrook township, Ashtabula County, Ohio",339,21,137,181,5-Year
Ohio,2022,Sub_County,3900718350,"Conneaut city, Ashtabula County, Ohio",4686,850,1336,2500,5-Year
Ohio,2022,Sub_County,3900721672,"Denmark township, Ashtabula County, Ohio",369,18,48,303,5-Year
Ohio,2022,Sub_County,3900722344,"Dorset township, Ashtabula County, Ohio",247,0,135,112,5-Year
Ohio,2022,Sub_County,3900729624,"Geneva township, Ashtabula County, Ohio",4237,799,1251,2187,5-Year
Ohio,2022,Sub_County,3900733642,"Harpersfield township, Ashtabula County, Ohio",1132,110,350,672,5-Year
Ohio,2022,Sub_County,3900734300,"Hartsgrove township, Ashtabula County, Ohio",419,15,55,349,5-Year
Ohio,2022,Sub_County,3900738514,"Jefferson township, Ashtabula County, Ohio",2328,229,867,1232,5-Year
Ohio,2022,Sub_County,3900740404,"Kingsville township, Ashtabula County, Ohio",603,48,228,327,5-Year
Ohio,2022,Sub_County,3900742742,"Lenox township, Ashtabula County, Ohio",548,158,104,286,5-Year
Ohio,2022,Sub_County,3900751296,"Monroe township, Ashtabula County, Ohio",813,125,181,507,5-Year
Ohio,2022,Sub_County,3900752066,"Morgan township, Ashtabula County, Ohio",886,127,185,574,5-Year
Ohio,2022,Sub_County,3900754964,"New Lyme township, Ashtabula County, Ohio",560,43,107,410,5-Year
Ohio,2022,Sub_County,3900756700,"North Kingsville village, Ashtabula County, Ohio",1145,106,286,753,5-Year
Ohio,2022,Sub_County,3900758870,"Orwell township, Ashtabula County, Ohio",1161,239,406,516,5-Year
Ohio,2022,Sub_County,3900762568,"Pierpont township, Ashtabula County, Ohio",420,38,230,152,5-Year
Ohio,2022,Sub_County,3900763772,"Plymouth township, Ashtabula County, Ohio",771,86,166,519,5-Year
Ohio,2022,Sub_County,3900766796,"Richmond township, Ashtabula County, Ohio",398,11,144,243,5-Year
Ohio,2022,Sub_County,3900768224,"Rome township, Ashtabula County, Ohio",724,59,152,513,5-Year
Ohio,2022,Sub_County,3900770646,"Saybrook township, Ashtabula County, Ohio",4202,570,1165,2467,5-Year
Ohio,2022,Sub_County,3900772053,"Sheffield township, Ashtabula County, Ohio",599,7,200,392,5-Year
Ohio,2022,Sub_County,3900777686,"Trumbull township, Ashtabula County, Ohio",583,59,146,378,5-Year
Ohio,2022,Sub_County,3900782040,"Wayne township, Ashtabula County, Ohio",207,7,54,146,5-Year
Ohio,2022,Sub_County,3900785372,"Williamsfield township, Ashtabula County, Ohio",517,115,122,280,5-Year
Ohio,2022,Sub_County,3900785988,"Windsor township, Ashtabula County, Ohio",517,40,153,324,5-Year
Ohio,2022,Sub_County,3900901112,"Alexander township, Athens County, Ohio",1227,172,368,687,5-Year
Ohio,2022,Sub_County,3900901770,"Ames township, Athens County, Ohio",531,12,233,286,5-Year
Ohio,2022,Sub_County,3900902750,"Athens township, Athens County, Ohio",9502,3078,2467,3957,5-Year
